"NAVN";"ADRESSE1";"ADRESSE2";"ADRESSE3";"LANDKODE";"POSTNR";"POSTDST";"CVR";"AUTNR";"FORRETNINGSOMR"
"LS EnergiTeknik A/S";"Trondheimparken 11";"";"";"DK";"5400";"Bogense";"27230679";"GFSA-05453";"Gasgodkendelse, større gasfyrede anlæg o/135 kW"
"Jenbacher A/S";"Samsøvej 10";"";"";"DK";"8382";"Hinnerup";"10636930";"GFMT-05464";"Gasgodkendelse, gasdrevne motoranlæg"
"Dansk Energi Service A/S";"Ibæk Strandvej 11";"";"";"DK";"7100";"Vejle";"14498842";"GFSA-05435";"Gasgodkendelse, større gasfyrede anlæg o/135 kW"
"VVS Installatøren ApS";"Vodskov Kirkevej 22";"";"";"DK";"9310";"Vodskov";"17703803";"GFSA-05341";"Gasgodkendelse, større gasfyrede anlæg o/135 kW"
"Sternberg VVS & Gasteknik A/S";"Frydensbergvej 20";"";"";"DK";"3660";"Stenløse";"13608687";"GFSA-05344";"Gasgodkendelse, større gasfyrede anlæg o/135 kW"
"Himmerlands Gas-Olie & VVS Teknik ApS";"Markvænget 24";"";"";"DK";"9600";"Aars";"10940737";"GFSA-05410";"Gasgodkendelse, større gasfyrede anlæg o/135 kW"
"Robert Bosch A/S";"Telegrafvej 1";"";"";"DK";"2750";"Ballerup";"55112819";"GDKX-05484";"Kompetent virksomhed på gasområdet"
"Johnny B. Hansen Gas & VVS service";"Bøgevej 4";"";"";"DK";"4230";"Skælskør";"31524369";"GFSA-05437";"Gasgodkendelse, større gasfyrede anlæg o/135 kW"
"Bergen Engines Denmark A/S";"Østre Havnepromenaden 34";"";"";"DK";"9000";"Aalborg";"33965702";"GFMT-05487";"Gasgodkendelse, gasdrevne motoranlæg"
"Læssøe VVS ApS";"Sandby 33";"";"";"DK";"4520";"Svinninge";"29397767";"GFSA-05479";"Gasgodkendelse, større gasfyrede anlæg o/135 kW"
