"Kenneth Jepsen Hyldtoft";"6715 Esbjerg N";"Gl. Vardevej 171C"
"Meddo";"6715 Esbjerg N";"Tarp Byvej 51"
"Meddo";"6740 Bramming";"Storegade 39"
"Cafeens Solcenter";"6753 Agerbæk";"Storegade 20"
"Sun2you";"6753 Agerbæk";"Torvet 4"
"Meddo";"6760 Ribe";"Nørremarksvej 3 C"
"Meddo";"6771 Gredstedbro";"Vestergade 16"
"City Sol";"6780 Skærbæk";"Storegade 11"
"Meddo Skærbæk";"6780 Skærbæk";"Kirkevej 1"
"Beauty Sun";"6800 Varde";"Storegade 12 st. tv."
"Meddo";"6800 Varde";"Ribevej 9"
"Meddo";"6800 Varde";"Storegade 12"
"Salon Sus";"6800 Varde";"Agervigvej 31"
"Sol & Velvære";"6800 Varde";"Hjertingvej 1 B"
"Solcenter";"6823 Ansager";"Nørregade 25"
"Meddo";"6830 Nørre Nebel";"Bredgade 6"
"Nr. Nebel Solcenter";"6830 Nørre Nebel";"Jernbaneallé 7"
"Solarie Houstrup";"6830 Nørre Nebel";"Houstrupvej"
"Oksbøl solcenter";"6840 Oksbøl";"Østergade 14"
"Byens Solcenter i Outrup";"6855 Outrup";"Gartnervænget 29"
"MEDDO-Tistrup";"6862 Tistrup";"Thorsvej 8"
"Solcenter";"6870 Ølgod";"Industrivej 2"
"Ølgod Solcenter";"6870 Ølgod";"Torvet 10 st."
"Sun De Luxe Solcenter";"6880 Tarm";"Nygade 6"
"Sun De Luxe Solcenter";"6900 Skjern";"Bredgade 71"
"Sun De Luxe Solcenter";"6920 Videbæk";"Bredgade 45"
"Sun De Luxe Solcenter";"6920 Videbæk";"Bredgade 45"
"GigaSun";"6933 Kibæk";"Nr. Bredgade 2B"
"Beach Bowl A/S";"6950 Ringkøbing";"Lodbergsvej 36"
"Sun De Luxe Solcenter";"6950 Ringkøbing";"Søndervigvej 7"
"Hårshoppen";"6980 Tim";"Hovedgaden 16"
"Sun De Luxe Solcenter";"6990 Ulfborg";"Harbogade 2"
"Club Tan";"7000 Fredericia";"Jyllandsgade 71 A"
"Meddo Fredericia";"7000 Fredericia";"Nørrebrogade 12"
"Pluto Sol";"7000 Fredericia";"Egeskovvej 90"
"Pluto Sol";"7000 Fredericia";"Gl. Landevej 34"
"Pluto Sol";"7000 Fredericia";"Norgesgade 16"
"Pluto Sol";"7000 Fredericia";"Vejlevej 101"
"Meddo Solcenter Børkop";"7080 Børkop";"Vestergade 17"
"Shape Fitness";"7080 Børkop";"Industrivej 36"
"Clubtan Vejle";"7100 Vejle";"Vedelsgade 77 B, st."
"Consol Solcenter";"7100 Vejle";"Dæmningen 35"
"DGI-huset Vejle";"7100 Vejle";"Willy Sørensens Plads 5"
"Langelinie Solcenter";"7100 Vejle";"Langelinie 39 A"
"Meddo";"7100 Vejle";"Dalgade 1 A"
"Meddo";"7100 Vejle";"Koldingvej 17"
"Mølholmsolcenter";"7100 Vejle";"fredericiavej 69 C, st. mf."
"Tropic Sun";"7100 Vejle";"Vesterbrogade 25"
"Tropic Sun";"7100 Vejle";"Vindinggård Center 21B"
"Tropicsun";"7100 Vejle";"Vindinggård center 21"
"MEDDO";"7130 Juelsminde";"Tofteskovvej 12"
"Meddo Solcenter Juelsminde";"7130 Juelsminde";"Tofteskovvej 12"
"LS Fysioterapi & Træning";"7160 Tørring";"Kirkevej 10"
"Meddo Solcenter Tørring";"7160 Tørring";"Torvegade 98"
"Meddo Tørring";"7160 Tørring";"Torvegade 98"
"Meddo Solcenter";"7182 Bredsten";"Kirkegade 6"
"Billund Solcenter";"7190 Billund";"Bogfinkevej 6 B"
"Meddo Solcenter Billund";"7190 Billund";"Butikstorvet 7"
"Meddo";"7200 Grindsted";"Vesterbrogade 2"
"Meddo Solcenter";"7200 Grindsted";"Vestergade 69"
"Meddo";"7323 Give";"Jernbanegade 19"
"Thyregod Solcenter";"7323 Give";"Vestr Alle 12"
"Byens Førende Solcenter";"7330 Brande";"Storegade 18"
"Sunds";"7330 Brande";"Storegade 26"
"Consol Solcenter";"7400 Herning";"Jernbanegade 1"
"Consol Solcenter";"7400 Herning";"Vestergade 19"
"GigaSun";"7400 Herning";"Nr. Lindvej 8"
"Herning Svømmehal Solcenter";"7400 Herning";"Brændgårdvej 20"
"MEDDO";"7400 Herning";"Viborgvej 97"
"MegaSun";"7400 Herning";"Snebjerg Hovedgade"
"Sun De Luxe Solcenter";"7400 Herning";"Fruehøjvej 15"
"Sun De Luxe Solcenter";"7400 Herning";"Nørregade 18"
"Tropic Sun";"7400 Herning";"Silkeborgvej 2"
"Clubtan Sol & Wellness";"7430 Ikast";"Møllegade 14"
"Ikast-Brande kommune";"7430 Ikast";"Rådhusstrædet 6"
"Meddo";"7430 Ikast";"Strøget 30 A"
"Sun De Luxe Solcenter";"7430 Ikast";"Grønlandsgade 15"
"Tropic Sun";"7430 Ikast";"Strøget 8 D"
"Sunds";"7451 Sunds";"Sundshovedgade 32"
"Meddo Karise";"7470 Karup J";"Bredgade 13 D"
"Sunshine";"7470 Karup J";"Østergade 18C"
"Sun De Luxe Solcenter";"7480 Vildbjerg";"Bredgade 9 A"
"Sun De Luxe Solcenter";"7490 Aulum";"Danmarksgade 1"
"Clubtan";"7500 Holstebro";"Banetoften 2"
"Palles Solcenter";"7500 Holstebro";"Skivevej 34"
"Sun De Luxe Solcenter";"7500 Holstebro";"Døesvej 53"
"Sun De Luxe Solcenter";"7500 Holstebro";"Helgolandsgade 11"
"Sun De Luxe Solcenter";"7500 Holstebro";"Struervej 16"
"Humlum Solcenter";"7600 Struer";"Lille Øreskovveje"
"Sun De Luxe Solcenter";"7600 Struer";"Søndergade 2 B"
"Sun De Luxe Solcenter";"7620 Lemvig";"Engen 4"
"Thyborøn Solcenter";"7680 Thyborøn";"Bredgade 31"
"Consol Solcenter";"7700 Thisted";"Vestergade 48"
"Sun De Luxe Solcenter";"7700 Thisted";"Nytorv 3 A"
"Vigsø Feriecenter";"7730 Hanstholm";"Vigsø Bugt Vej 1, Vigsø"
"Hannæs Hallen";"7742 Vesløs";"Gl. Feggesundvej 29"
"Hannæs Hallen";"7742 Vesløs";"Gl. Feggesundvej 29"
"Hannes Frisørsalon v/Hanne Dahl";"7755 Bedsted Thy";"Blomstervænget 1"
"Kloster Del Sol";"7770 Vestervig";"Vestergade 3-5"
"Clubtan";"7800 Skive";"Torvegade 7 A, st."
"Clubtan Skive";"7800 Skive";"Torvegade 7 A, st."
"Consol Solcenter";"7800 Skive";"Torvegade 8"
"Meddo";"7800 Skive";"Kirke Allé 93"
"Meddo";"7800 Skive";"Østerbro 7"
"Solsikken";"7800 Skive";"Rosenbakken 10"
"Xtreme Tanning";"7800 Skive";"Kirkevej 2B"
"Sun De Luxe Solcenter";"7830 Vinderup";"Nørregade 13"
"Sun X Press Solcenter";"7860 Spøttrup";"Nørregade 13, Balling"
"Body Sun";"7870 Roslev";"Rybjergvej 4"
"Consol Solcenter";"7900 Nykøbing M";"Møgelvangs Plads"
"D3 Solcenter";"7900 Nykøbing M";"Nygade 17, st. tv."
"Luxura Sol";"7900 Nykøbing M";"Nygade 5"
"Consol Solcenter";"7950 Erslev";"Præstbrovej 319 st. tv."
"D3 Solcenter";"7950 Erslev";"Præstbrovej 136"
"ClubTan";"8000 Aarhus C";"Thorvaldsensgade 23"
"ClubTan";"8000 Aarhus C";"Thorvaldsensgade 23"
"Clubtan";"8000 Aarhus C";"Demezasvej 22"
"Clubtan";"8000 Aarhus C";"Nørregade 53"
"Clubtan";"8000 Aarhus C";"Søndergade 64"
"Clubtan Skt. Paulsgade";"8000 Aarhus C";"Skt. Paulsgade 30"
"Fitness.dk";"8000 Aarhus C";"Daugbjergvej 26"
"Meddo Aarhus";"8000 Aarhus C";"Vestre Ringgade 41"
"SunOne";"8000 Aarhus C";"Jærgergårdsgade 71"
"SunOne";"8000 Aarhus C";"Knudrisgade 27"
"Sunds";"8000 Aarhus C";"Sønderborggade 13"
"Tropic Sun";"8000 Aarhus C";"Frederiks Allé 104"
"Tropic Sun";"8000 Aarhus C";"Vesterbro Torv 7"
"Clubtan Trøjborg";"8200 Aarhus N";"Tordenskjoldsgade"
"Consol Solcenter";"8200 Aarhus N";"Funch Thomsens Gade 6"
"Sun4You Trøjborg";"8200 Aarhus N";"Steen Billes Gade 13"
"Suncare ApS";"8200 Aarhus N";"Åbogade 3"
"Tropic Sun";"8200 Aarhus N";"Randersvej 21"
"Clubtan";"8210 Aarhus V";"Viborgvej 146"
"SunOne";"8210 Aarhus V";"Frydenlunds Alle 13"
"SunOne";"8220 Brabrand";"Hovedgaden 58"
"Extreme Tanning";"8230 Åbyhøj";"Silkeborgvej 232"
"Consol Solcenter";"8240 Risskov";"Frijsenborggade"
"Egå, Kystcentret";"8250 Egå";"Kystparkvej 5"
"Re-Sun, Center Øst";"8250 Egå";"Egå Havvej 3"
"Sun Thriving Center";"8250 Egå";"Munkeparken 3"
"Consol Solcenter";"8260 Viby J";"Skanderborgvej 203"
"Fitness.dk";"8260 Viby J";"Bjørnholms Alle 4-6"
"Tropic SUN";"8260 Viby J";"Holme Ringvej 150 st. th."
"Tropic Sun";"8260 Viby J";"Ormslevvej 230-234"
"Club Tan Holme";"8270 Højbjerg";"Holme Byvej 13"
"Safari Sol";"8270 Højbjerg";"Grumstolsvej"
"Clubtan";"8300 Odder";"Holsteinsgade 11"
"Sun4You Beder";"8330 Beder";"Beder Landevej 45"
"SunOne";"8361 Hasselager";"Kolt Østervej 33"
"Consol Solcenter";"8362 Hørning";"Vesteralle 2"
"Beauty Tan Hadsten";"8370 Hadsten";"Vesselbjergvej 4, st."
"Beauty Tan Hadsten";"8370 Hadsten";"Vesselbjergvej 4, st."
"Hadsten Sol og Spraytan";"8370 Hadsten";"Søndergade 3, st."
"Meddo Tilst";"8381 Tilst";"Havkærvej 13"
"Re-Sun, Hinnerup";"8382 Hinnerup";"Storegade 5B"
"Clubtan Ebeltoft I/S";"8400 Ebeltoft";"Bryggerivej 1"
"ClubTan";"8410 Rønde";"Hovedgaden 48"
"HN Sol ApS";"8410 Rønde";"Hovedgaden 48 D"
"Consol Solcenter";"8450 Hammel";"Østergade 44"
"Supersol";"8462 Harlev J";"Cedervej 2"
"4 SUN";"8464 Galten";"Søndergade 40"
"Skovby Solcenter";"8464 Galten";"Christinedahlsvej 16"
"Re-Sun, Sabro";"8471 Sabro";"Vistoftvej 34"
"Clubtan Fuglevænget";"8500 Grenaa";"Fuglevænget 39"
"Clubtan Nørregade";"8500 Grenaa";"Nørregade 7"
"Clubtan Søndenå";"8500 Grenaa";"De Lichtenbergsvej 15"
"Tropic Sun";"8500 Grenaa";"Østergade 21"
"Tropic Sun";"8500 Grenaa";"Østergade 21"
"Tropicsun";"8500 Grenaa";"Østergade 21"
"My Sunshine";"8520 Lystrup";"Bystævnet 1 A"
"Ny Form og Velvære";"8541 Skødstrup";"Grenåvej 748a"
"Sun4You Hornslet";"8543 Hornslet";"Banevej 1A"
"Kolind Solcenter";"8560 Kolind";"Drasbeksgade"
"Clubtan Glesborg";"8585 Glesborg";"Glesborg Bygade 54"
"Consol Solcenter";"8600 Silkeborg";"Hostrupsgade 21"
"Fitness World Papirfabrikken";"8600 Silkeborg";"Papirfabrikken 22"
"Meddo";"8600 Silkeborg";"Nørretorv 10"
"Re-Sun, Silkeborg";"8600 Silkeborg";"Århusvej 22"
"Silkeborg Fitness Center A/S";"8600 Silkeborg";"Navervej 12"
"Sun4You";"8600 Silkeborg";"Frederiksberggade 17 B"
"Søholt Sol";"8600 Silkeborg";"Ansvej 44"
"Søholt Sol";"8600 Silkeborg";"Østre Alle 1"
"Tropic Sun";"8600 Silkeborg";"Hostrupsgade 36"
"Tropic Sun";"8600 Silkeborg";"Nylandsvej 53"
"Consol Solcenter";"8620 Kjellerup";"Østergade 1"
"Luxura Solcenter";"8620 Kjellerup";"Blichersvej 15"
"Club Tan";"8660 Skanderborg";"Adelgade 64A"
"Clubtan";"8660 Skanderborg";"Adelgade 64B"
"Consol Solcenter";"8660 Skanderborg";"Adelgade 114 A"
"Clubtan Horsens";"8700 Horsens";"Speldalsø Torv"
"Consol Solcenter";"8700 Horsens";"Kongensgade 12"
"Fitness World Horsens";"8700 Horsens";"Høegh Guldbergsgade 5"
"Fitness.dk";"8700 Horsens";"Emil Møllers Gade 30"
"Marcut ApS";"8700 Horsens";"Strandkærvej 87"
"Meddo Kattesund ApS";"8700 Horsens";"Svaneparken 23, Kattesund 19-21"
"Safari Sun";"8700 Horsens";"Skolebakken 16"
"Tropic Sun";"8700 Horsens";"Bjerrevej 146"
"Tropic Sun";"8700 Horsens";"Nørregade 52"
"Tropic Sun";"8700 Horsens";"Nørregade 52"
"Tropic Sun";"8700 Horsens";"Torstedalle 90"
"Tropic Sun";"8700 Horsens";"Torstedalle 90B"
"iTan";"8700 Horsens";"Allegade 1 F, 1"
"iTan";"8700 Horsens";"Ormhøjgårdvej 1, 1"
"iTan";"8700 Horsens";"Slotsgade 23, 1. th"
"Meddo solcenter Hedensted";"8722 Hedensted";"Nørrebrogade 5 A"
"Meddo Solcenter Løsning";"8723 Løsning";"Vestergade 17"
"Medde sol Hovedgård";"8732 Hovedgård";"Gl. Århusvej 59"
"Meddo Brædstrup";"8740 Brædstrup";"Rådhusgade 15"
"Meddo Brædstrup";"8740 Brædstrup";"Rådhusgade 15"
"Gedved Solcenter";"8751 Gedved";"Egebjergvej 21"
"Rask Mølle Sol";"8763 Rask Mølle";"Hovedgaden 4"
"Meddo";"8766 Nørre Snede";"Strøget 6"
"Nørre Snede Solcenter";"8766 Nørre Snede";"Strøget 6, st."
"Meddo Solcenter Hornsyld";"8783 Hornsyld";"Møllevej 37"
"Clubtan";"8800 Viborg";"Gl Randersvej 60"
"Clubtan";"8800 Viborg";"Randersvej 66 E"
"Consol Solcenter";"8800 Viborg";"Vesterbrogade 7"
"Meddo";"8800 Viborg";"Rughavevej 2 A"
"Sun De Luxe Solcenter";"8800 Viborg";"St. Sct. Mikkelsgade 21"
"Sunkiss";"8800 Viborg";"Kirkebækvej 48 st."
"Sunkiss";"8800 Viborg";"Randersvej 35"
"Tropic Sun";"8800 Viborg";"Vesterbrogade 18 a"
"Palles Solcenter";"8832 Skals";"Gl. Skolevej 9 A"
"Sun Zone";"8850 Bjerringbro";"Storegade 21"
"Sunkiss";"8850 Bjerringbro";"Nørregade 10 st. th."
"Sun Zone";"8860 Ulstrup";"Hovedgaden 36"
"Sunkiss";"8870 Langå";"Bredgade 48 st. th."
"Salon Solsikken";"8881 Thorsø";"Jernbarnegade 3"
"Byens Sol";"8882 Fårvang";"Gl. Hedevej 11"
"Den selvejende institution Gjern kultur- og Idrætscenter";"8883 Gjern";"Skovvejen 6"
"ClubTan Randers";"8900 Randers C";"Trangstræde 7"
"Consol Solcenter";"8900 Randers C";"Adelgade 19 B"
"Dark Tan Vestervold";"8900 Randers C";"Vestervold 24"
"K. A. Sol";"8900 Randers C";"Vestervold"
"K.A. Sol";"8900 Randers C";"Vestervold 24 st. th."
"Meddo";"8900 Randers C";"Hobrovej 11"
"Tropic Sun";"8900 Randers C";"Vestergade 38"
"Consol Solcenter";"8920 Randers NV";"Mariagervej 66 st."
"K.A. Sol";"8920 Randers NV";"Gl. Hobrovej"
"MiWi solcenter";"8920 Randers NV";"Østervang 4"
"SOL-Randers, Tranekærcentret";"8920 Randers NV";"Hobrovej 134"
"Statoil Servicecenter v/Magnus Madsen";"8920 Randers NV";"Hovedvejen 7"
"Meddo";"8930 Randers NØ";"Dronningborg Boulevard 93"
"Tropic Sun";"8930 Randers NØ";"Udbyhøjvej 152"
"Tropic Sun";"8940 Randers SV";"Bøsbrovej 20"
"Ørsted Solcenter";"8950 Ørsted";"Storegade 4"
"Tropic Sun";"8960 Randers SØ";"Romalt Boulevard 22B"
"Sun 39";"8961 Allingåbro";"Hovedgaden 39"
"Consol Solcenter";"8963 Auning";"Vestergade 9"
"Sun Zone";"8970 Havndal";"Østerbro 3"
"Beauty Tan Spentrup";"8981 Spentrup";"Stationsvej 2A"
"Meddo Spentrup";"8981 Spentrup";"Stationsvej 2B"
"Club Tan Aalborg";"9000 Aalborg";"Urbansgade 23 st. th."
"Consol Solcenter";"9000 Aalborg";"Danmarksgade 18"
"Luxura Sun I/S";"9000 Aalborg";"Østerbro 64"
"Sun4You Tyren";"9000 Aalborg";"Vesterbro 93"
"Tropic Sun";"9000 Aalborg";"Danmarksgade 23"
"Tropic Sun";"9000 Aalborg";"Fredericiagade 21"
"Tropic Sun";"9000 Aalborg";"Færøgade 59"
"Tropic Sun";"9000 Aalborg";"Hadsundvej 98"
"Tropic Sun";"9000 Aalborg";"Hasundvej 4"
"Tropic Sun";"9000 Aalborg";"Reberbansgade 10"
"Tropic Sun";"9000 Aalborg";"Schleppegrellsgade 61"
"Tropic Sun";"9000 Aalborg";"Vestre Alle 1"
"Vejgaard Sol";"9000 Aalborg";"Hadsundvej 14"
"Fitness.dk";"9200 Aalborg SV";"Vandmanden 5, 13"
"Tropic Sun";"9200 Aalborg SV";"Nibevej 308 B"
"Sun4You";"9210 Aalborg SØ";"C.P. Holbølls Plads 15"
"Tropic Sun";"9210 Aalborg SØ";"Gugvej 178"
"Tropic Sun";"9210 Aalborg SØ";"Mylius Erichsens Vej 92"
"Tropic Sun";"9230 Svenstrup J";"Godthåbsvej 4"
"Consol Solcenter";"9240 Nibe";"Stenvej 4"
"Klarup Sol";"9270 Klarup";"Klarupvej 83"
"Luxura Sun";"9270 Klarup";"Klarupvej 45"
"Storvorde Sol";"9280 Storvorde";"Stationsvej 5 F"
"Kongerslev Solcenter v/L. Jensen";"9293 Kongerslev";"Danmarksgade 26"
"Clubtan Sæby";"9300 Sæby";"Sophus Falcksvej 14"
"Tropic Sun";"9300 Sæby";"Søndergade 5B"
"Sun4You Vodskov";"9310 Vodskov";"Vodskovvej 35"
"Tropic Sun";"9310 Vodskov";"Vodskovvej 25 C"
"Solcenter Hjallerup";"9320 Hjallerup";"Brorsonsvej 3"
"Flauenskjold Solcenter";"9330 Dronninglund";"Ålborgvej 596"
"Sun4You Dronninglund";"9330 Dronninglund";"Slotsgade 49"
"Solen Aså";"9340 Asaa";"Skippergade 7"
"Sun4You Hals";"9370 Hals";"Midtergade 34"
"Consol Solcenter";"9400 Nørresundby";"Gl. Østergade 3 A st."
"Sun4you";"9400 Nørresundby";"Lindholmsvej 69"
"Tropic Sun";"9400 Nørresundby";"Nr. Uttrup torv 5"
"Tropic Sun";"9400 Nørresundby";"Tinghusgade 2"
"Vadum Sol";"9430 Vadum";"Ellehammersvej"
"Consol Solcenter";"9440 Aabybro";"Åbybrocentret 13 1. sal"
"Tropic Sun";"9440 Aabybro";"Østergade 3"
"E/F Tranum Klitgaard";"9460 Brovst";"Strandvejen 150"
"Grønhøj Strand ApS";"9480 Løkken";"Ingeborgvej 2"
"Sun4You Pandrup";"9490 Pandrup";"Bredgade 6A"
"Feriecenter Nordsøen";"9492 Blokhus";"Høkervej 5"
"Saltum Sol";"9493 Saltum";"Tinghøjgade 44"
"Clubtan";"9500 Hobro";"Adelgade 84"
"Hobro Helse Sport";"9500 Hobro";"H I Bies Plads 4"
"Hobro Sol";"9500 Hobro";"Adelgade 71"
"Hobro Solcenter";"9500 Hobro";"Adelgade 71"
"Salon Hårtotten";"9500 Hobro";"Hovedgaden 16"
"Frisør Merete Christensen";"9510 Arden";"Thoruphedegårdsvej 13, Arden"
"Sunlook";"9510 Arden";"Vestergade 12"
"Solhjørnet";"9520 Skørping";"Jyllandsgade 34"
"Byens Solcenter";"9530 Støvring";"Viborgvej 9"
"Consol Solcenter";"9530 Støvring";"City Centret 15"
"Consol Solcenter";"9560 Hadsund";"Himmerlandsgade 6"
"Laura Sol";"9560 Hadsund";"Storegade 13"
"Roxy Solcenter";"9560 Hadsund";"Øster Hurupvej"
"Point Sun";"9600 Aars";"Gislumvej 1 B, st."
"Solen Bymidten";"9600 Aars";"Bymidten 1 - 4"
"Tropic Sun";"9600 Aars";"Himmerlandsgade 37"
"Palles Solcenter";"9620 Aalestrup";"Borgergade 7"
"Gedsted Solcenter";"9631 Gedsted";"Østergade 6"
"Open Sun Farsø";"9640 Farsø";"Nørregade 26"
"Løgstør Solcenter";"9670 Løgstør";"Bredgade 20 B"
"Sun4You Fjerritslev";"9690 Fjerritslev";"Østergade 14"
"Suncity";"9690 Fjerritslev";"Østergade 5"
"Consol Solcenter";"9700 Brønderslev";"Arkaden 2"
"Megasun";"9700 Brønderslev";"Grønnegade 12"
"Tropic Sun";"9700 Brønderslev";"Bredgade 43"
"Tropic Sun";"9700 Brønderslev";"Bredgade 43"
"Østervrå Solcenter";"9750 Østervrå";"Hjørringvej 434"
"Solsikken";"9760 Vrå";"Mejerigade 5"
"Solsikken";"9760 Vrå";"Nørregade 5"
"Clubtan";"9800 Hjørring";"Nørrebro 34"
"Consol Solcenter";"9800 Hjørring";"Nørregade 21"
"Fitness.dk";"9800 Hjørring";"Østergade 30"
"Megasun";"9800 Hjørring";"Norgesvej 36"
"Megasun";"9800 Hjørring";"Thorsvej 58"
"Solcenter";"9800 Hjørring";"Karolinesvej 35"
"Solsikken";"9800 Hjørring";"Bispensgade 23"
"Top Sol";"9800 Hjørring";"Skagensvej 159, Hjørring"
"Top Sol";"9800 Hjørring";"Østergade 30, st. 46"
"Solsikken";"9830 Tårs";"Bredgade 53"
"Solcenter";"9850 Hirtshals";"Birkevænget 49"
"Tropic Sun";"9850 Hirtshals";"Mikkelsgade 2A"
"Clubtan Frederikshavn";"9900 Frederikshavn";"Ny Østergade 9"
"Skippers Sol";"9900 Frederikshavn";"Søndergade 133"
"Solstrålen Solcenter";"9900 Frederikshavn";"Barfredsvej 99"
"Top Sol";"9900 Frederikshavn";"Hjørringvej 143G"
"Top Sol";"9900 Frederikshavn";"Søndergade 59"
"Tropic Sun";"9900 Frederikshavn";"Barfredsvej 99"
"Tropic Sun";"9900 Frederikshavn";"Søndergade 21B"
"Øens Sol";"9940 Læsø";"Doktorvejen 14"
"Solstrålen Solcenter";"9990 Skagen";"Sct. Launtii Vej 118"
"Solstrålen Solcenter";"9990 Skagen";"Skagavej 106"
"Tropic Sun";"9990 Skagen";"Sct. Laurentii Vej 118 st."
"Tropic Sun";"9990 Skagen";"Skagavej 109"
