"Meddo";"2650 Hvidovre";"Hvidovrevej 103b"
"Meddo";"2650 Hvidovre";"Hvidovrevej 57"
"SUN Breeze";"2650 Hvidovre";"Gl. Køge Landevej 263"
"Tropic Sun Hvidovre";"2650 Hvidovre";"Landlystvej 44"
"Club Tan";"2665 Vallensbæk Strand";"Vallensbæk Stationstorv 62"
"Club Tan";"2665 Vallensbæk Strand";"Vallensbæk Stationstorv 62"
"Tropic Sun";"2670 Greve";"Hundige Strandvej 195"
"Tropic Sun";"2670 Greve";"Håndværkervænget 21"
"Clubtan Solcenter";"2680 Solrød Strand";"Solrød Strandvej 85 - 87"
"Solcenter MEDDO Solrød";"2680 Solrød Strand";"Solrød Center 26"
"Beauty tan";"2690 Karlslunde";"Karlslunde Parkvej 13"
"Tropic Sun";"2690 Karlslunde";"Karlslunde Strandvej 48"
"Clubtan";"2700 Brønshøj";"Frederikssundsvej 127"
"Consol Solcenter";"2700 Brønshøj";"Fr. Sundsvej 192"
"CopenhagenTAN";"2700 Brønshøj";"Frederikssundsvej 229"
"Fitness World Husum";"2700 Brønshøj";"Frederikssundsvej 264"
"Tropic Sun";"2700 Brønshøj";"Frederikssundsvej 142"
"Consol Solcenter";"2720 Vanløse";"Hyltebjerg Allé 4"
"Tropic Sun";"2720 Vanløse";"Sallingvej 1"
"Consol Solcenter";"2730 Herlev";"Vindebyvej 57"
"Sun Station Herlev";"2730 Herlev";"Herlev Hovedgade 127"
"Clubtan Skovlunde";"2740 Skovlunde";"Bybjergvej 4"
"SUN Breeze";"2740 Skovlunde";"Bybuen 4"
"Solarie Ultra Tan Chilli";"2740 Skovlunde";"Lundebjerg 33"
"Clubtan Sol & Wellness";"2750 Ballerup";"Centrumgaden 21, st. 1"
"Consol Solcenter";"2750 Ballerup";"Baltorpvej 22"
"Jonstrup Solcenter";"2750 Ballerup";"Østerhøj Bygade 123A"
"Sun Station Ballerup";"2750 Ballerup";"Baltorpvej 9"
"Sun Station Hedeparken";"2750 Ballerup";"Hedeparken 7"
"ClubTan Måløv";"2760 Måløv";"Liljevangsvej 2"
"Clubtan Brønshøj";"2760 Måløv";"Frederikssundsvej 220"
"Servicekiosken Kukuret";"2765 Smørum";"Flodvej 75 C, Smørumnedre"
"Consol Solcenter";"2770 Kastrup";"Kastruplundgade 6"
"Kastrup Sol & Wellness";"2770 Kastrup";"Kastruplundsgade 27"
"Sunworld Solcenter I/S";"2770 Kastrup";"Kongelundsvej 295"
"Sunworld Solcenter I/S";"2770 Kastrup";"Tårnbyvej 51"
"Consol Solcenter";"2791 Dragør";"Kirkegade 137-139 F"
"Consol Solcenter";"2800 Kongens Lyngby";"Baunehøjvej 22"
"Luxus Sol";"2800 Kongens Lyngby";"Lundtofteparken 63 st."
"Meddo";"2800 Kongens Lyngby";"Bagsværdvej 93"
"Sunset Blvd.";"2800 Kongens Lyngby";"Jernbanevej 1"
"Club Tan";"2820 Gentofte";"Gentoftegade"
"Fitness World A/S";"2820 Gentofte";"Lyngbyvej 317 A"
"Fitness.dk";"2820 Gentofte";"Gentoftegade 35, 1 sal."
"Virum Solcenter";"2830 Virum";"Grønnevej 79"
"Jasmin Solcenter";"2840 Holte";"Øverødvej 9A"
"Jasmin Wellness";"2840 Holte";"Øverødvej 9A"
"SunStation";"2860 Søborg";"Søborg Hovedgade 195"
"Tropic Sun";"2860 Søborg";"Solnavej 69A"
"Clubtan Bagsværd";"2880 Bagsværd";"Bagsværd Hovedgade 116 K"
"Clubtan Sol & Wellness";"2880 Bagsværd";"Bagsværd Hovedgade 116"
"Tropic Sun";"2880 Bagsværd";"Bagsværd Hovedgade 135"
"Consol Solcenter";"2900 Hellerup";"Bernstorffsvej 140"
"Club Tan";"2960 Rungsted Kyst";"Hørsholm Midtpunkt"
"Form & Figur";"2970 Hørsholm";"Charistianshusvej 4 B"
"Jasmin Solcenter";"2970 Hørsholm";"Hovedgaden 37 B"
"Jasmin Solcenter";"2970 Hørsholm";"Hovedgaden 37B"
"Ådalsparkens Servicecenter";"2970 Hørsholm";"Ådalsparkvej 63"
"Beauty Tan";"3000 Helsingør";"Stengade 51 B"
"Consol Solcenter";"3000 Helsingør";"Kongevej 16"
"Fitness dk";"3000 Helsingør";"Rønnebær Allé 110"
"Klippegalleriet";"3000 Helsingør";"Stengade 26 D"
"Star Solcenter";"3000 Helsingør";"Esrumvej 37"
"Humlebæk Solcenter";"3050 Humlebæk";"Nederste Torpenvej"
"Comfort Solcenter";"3060 Espergærde";"Hovvej 28"
"Hornbæk Fitness ApS";"3100 Hornbæk";"Engholmvej 7"
"Hornbæk Sol";"3100 Hornbæk";"Nordre Strandvej 359"
"Meddo Solcenter";"3200 Helsinge";"Rundinsvej 2"
"OK Plus Skærød";"3200 Helsinge";"Industrivej 1"
"Consol Solcenter";"3230 Græsted";"Græsted Hovedgade 26"
"Consol Solcenter";"3250 Gilleleje";"Fiskerbakken 17"
"Consol Solcenter";"3250 Gilleleje";"Vesterbrogade 19"
"Gilleleje Fitness";"3250 Gilleleje";"Fiskerbakken 21"
"Sunpoint";"3300 Frederiksværk";"Torvet 25"
"Helge Nørgaard";"3310 Ølsted";"Jasminvej 8"
"Solcenter Solkrogen v/Lise Højager";"3320 Skævinge";"Krogvej 5"
"Sunpoint";"3390 Hundested";"Nørregade 34"
"Clubtan Hillerød sol og Wellness";"3400 Hillerød";"Vibekevej 2"
"Sun Box";"3400 Hillerød";"Tamsborgvej 19 A, st. tv."
"Tropic Sun Hillerød";"3400 Hillerød";"Frederiksværksgade 89"
"Jasmin Wellness";"3450 Allerød";"M. D. Madsensvej 12"
"Consol Solcenter";"3460 Birkerød";"Søndervangen 47"
"Beauty Tan Fredensborg";"3480 Fredensborg";"Jernbanegade 19"
"Meddo Solcenter";"3500 Værløse";"Kollekollevej 2"
"Farumsol";"3520 Farum";"Farumhovedgade 50 A"
"Lynge Solcenter";"3540 Lynge";"Lynghøjvej 8 B"
"Frederikssund Nye Møntvask og Solcenter";"3600 Frederikssund";"Ny Østergade 9"
"Jærgers Solcenter";"3630 Jægerspris";"Hovedgaden 35"
"Consol Solcenter";"3650 Ølstykke";"Niels Olsens Vej 4"
"Sport Helse Studio";"3650 Ølstykke";"Rådhus Alle 9"
"Sunpoint";"3650 Ølstykke";"Stationstorvet 4"
"Bofiltel";"3700 Rønne";"Åkirkebyvej 2"
"Bowlingcenter Rønne";"3700 Rønne";"Torneværksvej"
"Rønne Solcenter";"3700 Rønne";"Nørregade 7 B, 7"
"Sol'sikker";"3700 Rønne";"St. Torvegade 36"
"Neksø Solcenter";"3730 Nexø";"Havnegade 21"
"Solhuzed";"3730 Nexø";"K H Kofoeds Gade 17"
"Beauty Tan";"4000 Roskilde";"Allehelgensgade 15A"
"Clubtan";"4000 Roskilde";"Knud Den Stores Vej 35"
"Fitness.dk";"4000 Roskilde";"Ros Torv 1"
"Jasmin Solcenter";"4000 Roskilde";"Ringstedgade 31A"
"Jasmin Wellness";"4000 Roskilde";"Jernbanegade 7 A"
"Sunshine v/Bjarne Wimmer";"4000 Roskilde";"Ringstedgade 31 A"
"Clubtan Sol & Wellness Jyllinge";"4040 Jyllinge";"Jyllingecentret 39 C"
"Sunpoint";"4040 Jyllinge";"Osvej"
"Consol Solcenter";"4050 Skibby";"Hovedgaden 20"
"Megasun";"4070 Kirke Hyllinge";"Elverdamsvej 232"
"Clubtan Sol & Wellness";"4100 Ringsted";"Vestervej 2"
"Consol Solcenter";"4100 Ringsted";"Jyllandsgade 4"
"Kejsers Solcenter I/S";"4100 Ringsted";"Vestervej 2"
"Meddo";"4100 Ringsted";"Nørregade 9"
"Ringsted Solcenter";"4100 Ringsted";"Nørregade 40"
"Consol Solcenter";"4180 Sorø";"Alleen 29"
"SunHouse";"4180 Sorø";"Vestergade 8"
"Aktivt Velvære";"4200 Slagelse";"Rytterstaldsstræde 5-9-11"
"Beauty-Tan Slagelse IVS";"4200 Slagelse";"Løvegade 70"
"Club Tan";"4200 Slagelse";"Løvegade 3 A"
"Clubtan";"4200 Slagelse";"Korsørvej 59"
"Fitness.dk";"4200 Slagelse";"Skovvejen 48"
"Royal Tan Solcenter";"4200 Slagelse";"Bredegade"
"Slagelse Super Bowlingcenter A/S";"4200 Slagelse";"Bredegade 50-56"
"Sun Tan v/ Trine Darré";"4200 Slagelse";"Skovsøgade 7"
"Sunshine v/Gitte Wimmer";"4200 Slagelse";"Sdr. Stationsvej 17 A"
"Meddo";"4220 Korsør";"Mælkevej 8"
"Megasun/Korsør Sol";"4220 Korsør";"Havnegade 62"
"RB Solcenter I/S";"4230 Skælskør";"Carl Medingsvej 11A"
"sun2you";"4230 Skælskør";"Carl Medingsvej 11A"
"Vemmelev Tanken ApS";"4241 Vemmelev";"Akacievej 1"
"Sundahl Solcenter v/Annelise Olesen";"4250 Fuglebjerg";"Sorøvej 9"
"Sol og Velvære";"4270 Høng";"Hovedgaden 16"
"Meddo Dianalund";"4293 Dianalund";"Torvet 2"
"Stenlille Solcenter";"4295 Stenlille";"Hovedgaden 63"
"Clubtan";"4300 Holbæk";"Halvmånen 61"
"Clubtan";"4300 Holbæk";"Smedelundsgade 18"
"Consol Solcenter";"4300 Holbæk";"Labæk 17"
"Meddo";"4300 Holbæk";"Ahlgade 6"
"Osted Solcenter";"4320 Lejre";"Hovedvejen 162"
"Consol Solcenter";"4330 Hvalsø";"Holdækvej 2"
"Tølløse Sol og Beauty Center";"4340 Tølløse";"Vestergade 66"
"Tølløse Sol og Beauty Center";"4340 Tølløse";"Vestergade 66"
"Kalundborg Sol";"4400 Kalundborg";"Kordilgade 62"
"Clubtan Mørkøv";"4440 Mørkøv";"Hovedgaden 37"
"Clubtan Sol & Wellness";"4440 Mørkøv";"Hovedgaden 37"
"Open Sun";"4450 Jyderup";"Holbækvej 10 D"
"Center Sol";"4470 Svebølle";"Centret 4 A"
"Meddo";"4500 Nykøbing Sj";"Svanestræde 4"
"Fårevejle Solcenter & Beauty Angel";"4540 Fårevejle";"Adelers Alle 136A"
"Bellissimo Hudpleje Klinik";"4600 Køge";"Ølbycenter 65"
"Club Tan";"4600 Køge";"Marksvinget 1"
"Consol Solcenter";"4600 Køge";"Nørre Boulevard 24"
"Fitness.dk";"4600 Køge";"Galoche Alle 11"
"Meddo Køge";"4600 Køge";"Vestergade 20A"
"Solstrejfet ApS";"4600 Køge";"Køgevej 86"
"Sonsol Solcenter";"4600 Køge";"Nørregade 20"
"Faxe Solcenter";"4640 Faxe";"Kirketorvet 18"
"Meddo Faxe Ladeplads";"4654 Faxe Ladeplads";"Faxevej 12A"
"Meddo St. Heddinge";"4660 Store Heddinge";"Østergade 4"
"Solcentret Rengegade ApS";"4660 Store Heddinge";"Rengegade 12"
"Golden Tan ApS";"4671 Strøby";"Stevnsvej"
"TopTan Solcenter";"4684 Holmegaard";"Holmegaardsvej 68"
"Clubtan Haslev";"4690 Haslev";"Jernbanegade 83"
"Consol Solcenter";"4690 Haslev";"Torvet 3 B"
"LK Fitness";"4690 Haslev";"Houmanvej"
"Clubtan";"4700 Næstved";"Jernbanegade 5"
"Consol Solcenter";"4700 Næstved";"Kindhestegade 24"
"Helios 4700 ApS";"4700 Næstved";"Erantisvej 27A"
"Helios 4700 ApS";"4700 Næstved";"Nygårdsvej 66A 1."
"Helios 4700 ApS";"4700 Næstved";"Østergade 11"
"Mogenstrup Solcenter";"4700 Næstved";"Lovvej 1 D"
"SunTan Solcenter";"4700 Næstved";"Sct. Jørgens Park 40"
"Meddo Præstø";"4720 Præstø";"Adelgade 10"
"Byens Solcenter";"4760 Vordingborg";"Algade 6"
"Motionsklubben";"4760 Vordingborg";"Københavnsvej 29"
"Q-Sun";"4760 Vordingborg";"Nyråd Hovedgade 96"
"Vordingborg Solcenter & Beauty Angel";"4760 Vordingborg";"H.I. Hansensvej 7"
"Vordingborg Solcenter & Beauty Angel";"4760 Vordingborg";"Valdemarsgade 54"
"Beauty Tan Nykøbing Falster";"4800 Nykøbing F";"Vesterskovvej 27"
"Byens Solcenter";"4800 Nykøbing F";"Enighedsvej 53A 1. th."
"Byens Solcenter";"4800 Nykøbing F";"Gaabensevej 72B"
"Byens Solcenter";"4800 Nykøbing F";"Raadhusstræde 8"
"Byens Solcenter";"4800 Nykøbing F";"Tværgade 25"
"Club Tan Nykøbing Falster";"4800 Nykøbing F";"Nygade 8 st."
"Lenes Solcenter";"4873 Væggerløse";"Marielyst Strandvej 26c"
"Væggerløse Solcenter I/S";"4873 Væggerløse";"Asgaardsvej 14"
"FITNESSHOUSE ApS";"4900 Nakskov";"Vejlegadebro 11"
"Solcenter";"4900 Nakskov";"Tømmergade"
"Wing Tsun Do Center Nakskov I/S";"4900 Nakskov";"Løjtoftevej 22"
"Beauty Tan Maribo";"4930 Maribo";"Østre Landevej 46, st."
"Byens Solcenter";"4930 Maribo";"Østergade 40"
"Meddo Solcenter";"4930 Maribo";"Østre Landevej 46 st."
"Lalandia A/S";"4970 Rødby";"Lalandia Centret 1"
"Lalandia Rødby";"4970 Rødby";"Lalandia Centret 1"
"Solcenter";"4990 Sakskøbing";"Brogade 19"
"ClubTan";"5000 Odense C";"Søndergade 2"
"Consol Solcenter";"5000 Odense C";"Læssøegade"
"Fitness World Grønløkkevej";"5000 Odense C";"Grønløkkevej 9"
"Fitness.dk";"5000 Odense C";"Skibhusvej 52A"
"G&M Motioncenter";"5000 Odense C";"Næsbyvej 20"
"Golden Sun";"5000 Odense C";"Albanigade 33"
"Golden Sun";"5000 Odense C";"Søndergade 34"
"Insunlux";"5000 Odense C";"Damhusvej 31"
"Meddo";"5000 Odense C";"Reventlowsvej 53"
"Meddo";"5000 Odense C";"Skibhusvej 66-68"
"Sun Tan Solcenter";"5000 Odense C";"Vestergade"
"Bolbro Solcenter";"5200 Odense V";"Rollosvej 23"
"Seden Sol";"5200 Odense V";"Rollosvej 23"
"Sun-Tan Solcenter";"5200 Odense V";"Middelfartvej 123"
"Sunrise Solcenter";"5200 Odense V";"Schacksgade 38 st. mf."
"Meddo Korup";"5210 Odense NV";"Tyrsbjergvej"
"Sun Tan Solcenter";"5210 Odense NV";"Rugvang"
"Fitness.dk";"5220 Odense SØ";"Nyborgvej 34 1B"
"Fitness.dk";"5220 Odense SØ";"Ørbækvej 75"
"Fraugde Solcenter";"5220 Odense SØ";"Fraugde Byvej 15 C, Fraugde"
"Beauty Tan Odense Rødegårdsvej";"5230 Odense M";"Rødegårdsvej 182 B"
"Golden Sun";"5230 Odense M";"Hjallesevej 111"
"Seden Sol";"5240 Odense NØ";""
"Golden Sun";"5250 Odense SV";"Brogårdsvej 20 B"
"MEDDO Bellinge";"5250 Odense SV";"Brændekildevej 3"
"Tropic Sun";"5250 Odense SV";"Dalumvej 1C"
"Clubtan";"5260 Odense S";"Odensevej 18 B"
"Hjallese Solcenter";"5260 Odense S";"Stenløsevej 103"
"Meddo";"5260 Odense S";"Svendborgvej 319 A"
"Meddo Næsby/Odense";"5270 Odense N";"Bogensevej 66"
"Suvasol I/S";"5270 Odense N";"Høstlyngen 4"
"Exclusive Sun ApS";"5320 Agedrup";"Lunden 56"
"Meddo Solcenter";"5400 Bogense";"Vestergade 25"
"Fyzfit Spa & Wellness";"5450 Otterup";"Grusgyden 66"
"Meddo 360";"5450 Otterup";"Nørregade 1"
"Nordsol";"5471 Søndersø";"Nordmarksvænget"
"Sol-Nordfyn";"5471 Søndersø";"Snavevej 1"
"Særslev Sol";"5471 Søndersø";"Rasmus Nielsensvej 20, Særslev"
"Søndersø Solcenter";"5471 Søndersø";"Odensevej 46"
"Sundhedsklinikken";"5492 Vissenbjerg";"Vestergade 17"
"Meddo";"5500 Middelfart";"Østergade 35 A"
"Pluto Sol";"5500 Middelfart";"Hessgade 25"
"RAW Fitness ApS";"5500 Middelfart";"Falstersvej 11"
"Tropic Sun";"5500 Middelfart";"Brovejen 190"
"Ullerslev Solcenter";"5540 Ullerslev";"Svendborgvej 22"
"Consol Solcenter";"5550 Langeskov";"Jernbanegade 20"
"Golden Sun";"5550 Langeskov";"Langeskov Centret 20"
"Meddo Aarup";"5560 Aarup";"Søndergade 2"
"Nørre Aaby Solcenter";"5580 Nørre Aaby";"Østergade 2"
"Meddo";"5592 Ejby";"Algade 6"
"Meddo Solcenter";"5600 Faaborg";"Østergade 40 A"
"Linhardt Sol & Collagen v/Allan Linhardt Petersen";"5610 Assens";"Damgade 1"
"Meddo Assens";"5610 Assens";"Tobaksgården 5"
"Beauty Tan Glamsbjerg";"5620 Glamsbjerg";"Nørregade 12"
"Fremtidens Solcenter";"5672 Broby";"Østerågade 21"
"Fremtidens Solcenter";"5683 Haarby";"Algade 12"
"Fremtidens Solcenter";"5690 Tommerup";"Stationsvej 11"
"Consol Solcenter";"5700 Svendborg";"Tinghusgade 22"
"Fitness.dk";"5700 Svendborg";"Nyborgvej 4"
"Golden Sun";"5700 Svendborg";"Tinghusgade 33"
